model,language,chapter_id,wer,cer,reference_word_count,hypothesis_word_count
whisper_large_v3,en,MAT_28,0.06585365853658537,0.05291523762861342,410,433
whisper_large_v3,en,MRK_01,0.13396004700352526,0.11161731207289294,851,880
whisper_large_v3,en,MRK_02,0.11407407407407408,0.11041666666666666,675,746
whisper_large_v3,en,MRK_03,0.004724409448818898,0.0027881040892193307,635,635
whisper_large_v3,en,MRK_04,0.031137724550898204,0.03395669291338583,835,861
whisper_large_v3,en,MRK_05,0.10961968680089486,0.11922470137480279,894,964
whisper_large_v3,en,MRK_06,0.05323505323505324,0.048256486531151874,1221,1284
whisper_large_v3,en,MRK_07,0.1071932299012694,0.09235406960811181,709,749
whisper_large_v3,en,MRK_08,0.03636363636363636,0.03348104382077794,825,853
whisper_large_v3,en,MRK_09,0.016574585635359115,0.014028436018957346,1086,1096
whisper_large_v3,en,MRK_10,0.0594925634295713,0.05589394482264421,1143,1203
whisper_large_v3,en,MRK_11,0.02937062937062937,0.015488594762038862,715,730
whisper_large_v3,en,MRK_12,0.08384458077709611,0.07888820764357245,978,1057
whisper_large_v3,en,MRK_13,0.017811704834605598,0.00740929994890138,786,784
whisper_large_v3,en,MRK_14,0.07896440129449839,0.06057399814839307,1545,1578
whisper_large_v3,en,MRK_15,0.026519337016574586,0.024648648648648647,905,916
whisper_large_v3,en,MRK_16,0.01991150442477876,0.016157205240174673,452,456
whisper_large_v3,ilo,LUK_01,0.8814159292035398,0.32096842701401673,1130,1445
whisper_large_v3,ilo,LUK_02,0.6962305986696231,0.16472277050062803,902,894
whisper_large_v3,ilo,LUK_03,0.5491009681881052,0.22447955856533736,723,736
whisper_large_v3,ilo,LUK_04,0.996319018404908,0.9186728707262796,815,60
whisper_large_v3,ilo,LUK_05,0.7604290822407628,0.28053435114503816,839,799
whisper_large_v3,ilo,LUK_06,0.7138671875,0.22370723945902943,1024,1046
whisper_large_v3,ilo,LUK_07,0.7476190476190476,0.19941303676243435,1050,987
whisper_large_v3,ilo,LUK_08,0.8448125544899738,0.3020482603815937,1147,1178
whisper_large_v3,ilo,LUK_09,0.7537248028045574,0.25247317820816495,1141,1185
whisper_large_v3,ilo,LUK_10,0.7445589919816724,0.1497434017595308,873,856
whisper_large_v3,ilo,LUK_11,0.8215839860748477,0.20342670655425618,1149,1173
whisper_large_v3,ilo,LUK_12,0.7786069651741293,0.16894426580921756,1206,1312
whisper_large_v3,ilo,LUK_13,0.7529411764705882,0.2022353437368199,765,763
whisper_large_v3,ilo,LUK_14,0.8133535660091047,0.29325301204819276,659,662
whisper_large_v3,ilo,LUK_15,0.7815533980582524,0.1744186046511628,618,607
whisper_large_v3,ilo,LUK_16,0.976056338028169,0.9035498995311454,710,66
whisper_large_v3,ilo,LUK_17,0.7255892255892256,0.21806108897742363,594,661
whisper_large_v3,ilo,LUK_18,0.7963190184049079,0.2244618395303327,815,760
whisper_large_v3,ilo,LUK_19,0.712630359212051,0.17267944381811348,863,803
whisper_large_v3,ilo,LUK_20,0.9975369458128078,0.9393642072213501,812,40
whisper_large_v3,ilo,LUK_21,0.7882882882882883,0.18494868871151654,666,730
whisper_large_v3,ilo,LUK_22,0.7909556313993175,0.21085960657504715,1172,1149
whisper_large_v3,ilo,LUK_23,0.7740174672489083,0.2010230179028133,916,1037
whisper_large_v3,ilo,LUK_24,0.9391634980988594,0.706803247004252,789,311
whisper_large_v3,ilo,MAT_01,0.8643617021276596,0.3093368237347295,376,438
whisper_large_v3,ilo,MAT_02,0.8120950323974082,0.2842935528120713,463,485
whisper_large_v3,ilo,MAT_03,0.8058823529411765,0.25907990314769974,340,287
whisper_large_v3,ilo,MAT_04,0.7738359201773836,0.26904848705796575,451,494
whisper_large_v3,ilo,MAT_05,0.8361204013377926,0.2196237031826974,897,900
whisper_large_v3,ilo,MAT_06,0.885483870967742,0.26683417085427136,620,657
whisper_large_v3,ilo,MAT_07,0.9980769230769231,0.9494822717288987,520,24
whisper_large_v3,ilo,MAT_08,0.9213836477987422,0.35253227408143,636,721
whisper_large_v3,ilo,MAT_09,0.7209302325581395,0.26773455377574373,774,690
whisper_large_v3,ilo,MAT_10,0.8536585365853658,0.2799196053352823,861,884
whisper_large_v3,ilo,MAT_11,0.9726688102893891,0.8877551020408163,622,71
whisper_large_v3,ilo,MAT_12,0.7551219512195122,0.22307569211073772,1025,1005
whisper_large_v3,ilo,MAT_13,0.9763157894736842,0.902610159977547,1140,106
whisper_large_v3,ilo,MAT_14,0.7408026755852842,0.1837065012139196,598,600
whisper_large_v3,ilo,MAT_15,0.7325408618127786,0.19731610337972166,673,679
whisper_large_v3,ilo,MAT_16,0.7581168831168831,0.21322184478703946,616,578
whisper_large_v3,ilo,MAT_17,0.8287937743190662,0.29320695102685623,514,530
whisper_large_v3,ilo,MAT_18,0.8502747252747253,0.24988743809095001,728,618
whisper_large_v3,ilo,MAT_19,0.7877280265339967,0.2012227538543328,603,623
whisper_large_v3,ilo,MAT_20,0.9144851657940664,0.3166488222698073,573,624
whisper_large_v3,ilo,MAT_21,0.8731596828992072,0.3455096222380613,883,1007
whisper_large_v3,ilo,MAT_22,0.8577524893314367,0.32789485610695673,703,733
whisper_large_v3,ilo,MAT_23,0.7625806451612903,0.16004056795131846,775,857
whisper_large_v3,ilo,MAT_24,0.6819148936170213,0.13326481671805412,940,954
whisper_large_v3,ilo,MAT_25,0.978343949044586,0.9272904483430799,785,65
whisper_large_v3,ilo,MAT_26,0.7992727272727272,0.2231904263971186,1375,1430
whisper_large_v3,ilo,MAT_27,0.7740016992353441,0.29833806242399674,1177,1065
whisper_large_v3,ilo,MAT_28,0.7275204359673024,0.12959934587080948,367,374
whisper_large_v3,ilo,MRK_01,0.7115839243498818,0.24835988753514526,846,758
whisper_large_v3,ilo,MRK_02,0.7376237623762376,0.24917943107221008,606,557
whisper_large_v3,ilo,MRK_03,0.7753378378378378,0.2509992006394884,592,580
whisper_large_v3,ilo,MRK_04,0.7150063051702396,0.21787709497206703,793,724
whisper_large_v3,ilo,MRK_05,0.8416107382550335,0.3334033172370355,745,727
whisper_large_v3,ilo,MRK_06,0.8611898016997167,0.45668934240362813,1059,656
whisper_large_v3,ilo,MRK_07,0.9972789115646259,0.9465513417609226,735,36
whisper_large_v3,ilo,MRK_08,0.7722222222222223,0.29054640069384213,720,628
whisper_large_v3,ilo,MRK_09,0.7997967479674797,0.27163737887994743,984,936
whisper_large_v3,ilo,MRK_10,0.7905138339920948,0.2417548226509023,1012,975
whisper_large_v3,ilo,MRK_11,0.8650306748466258,0.47827136648961854,652,476
whisper_large_v3,ilo,MRK_12,0.7727737973387923,0.2299136786188579,977,985
whisper_large_v3,ilo,MRK_13,0.7670850767085077,0.16812036633231575,717,756
whisper_large_v3,ilo,MRK_14,0.7852852852852853,0.1937801861232183,1332,1438
whisper_large_v3,ilo,MRK_15,0.9118421052631579,0.7092080648513822,760,305
whisper_large_v3,ilo,MRK_16,0.8020304568527918,0.2209119496855346,394,338
